file,change_count,insertions,deletions,file_extension,last_modified,authors,authors_count,file_age
scipy_distutils/__init__.py,7,38,28,.py,1101031726,"Eric Jones, Pearu Peterson",26,7493
scipy_distutils/command/__init__.py,4,33,3,.py,1084798190,"Eric Jones, Pearu Peterson",26,7681
scipy_distutils/command/build.py,7,88,10,.py,1075673273,"Eric Jones, Pearu Peterson",26,7787
scipy_distutils/command/build_clib.py,19,498,274,.py,1096367461,"Eric Jones, Pearu Peterson, jswhit",34,7547
scipy_distutils/command/build_ext.py,56,1152,775,.py,1111656163,"Eric Jones, Pearu Peterson, Travis Oliphant, dmorrill",53,7370
scipy_distutils/command/build_flib.py,92,2378,2378,.py,1075673273,"Eric Jones, Pearu Peterson, dmorrill, jswhit, skip",50,7787
scipy_distutils/command/install.py,4,103,1,.py,1084798080,"Eric Jones, Pearu Peterson",26,7681
scipy_distutils/command/install_data.py,3,14,1,.py,1048588881,Eric Jones,10,8100
scipy_distutils/command/install_headers.py,1,20,0,.py,1008690310,Eric Jones,10,8562
scipy_distutils/command/sdist.py,11,189,35,.py,1083569539,"Eric Jones, Pearu Peterson",26,7695
scipy_distutils/core.py,13,156,38,.py,1084798190,"Eric Jones, Pearu Peterson",26,7681
scipy_distutils/dist.py,10,135,81,.py,1075673273,"Eric Jones, Pearu Peterson",26,7787
scipy_distutils/mingw32_support.py,22,424,411,.py,1077352426,"Eric Jones, Pearu Peterson, Travis Oliphant, martin",51,7767
scipy_distutils/setup.py,12,84,68,.py,1096369552,"Eric Jones, Pearu Peterson",26,7547
scipy_test/scipy_test.py,9,377,377,.py,1018192447,"Eric Jones, Pearu Peterson, Travis Oliphant",43,8452
scipy_test/setup.py,2,5,5,.py,1018192447,"Eric Jones, Pearu Peterson",26,8452
scipy_test/setup_scipy_test.py,11,85,85,.py,1075635370,"Eric Jones, Pearu Peterson, Travis Oliphant, nobody",51,7787
scipy_distutils/command/build_py.py,8,63,50,.py,1075673273,"Eric Jones, Pearu Peterson",26,7787
scipy_distutils/misc_util.py,68,975,379,.py,1086079888,"Eric Jones, Pearu Peterson, prabhu",34,7666
scipy_distutils/command/cpuinfo.py,12,779,779,.py,1075673273,"Eric Jones, Pearu Peterson",26,7787
scipy_distutils/fftw_info.py,2,18,18,.py,1018192188,"Eric Jones, Pearu Peterson",26,8452
scipy_distutils/setup_scipy_distutils.py,7,69,29,.py,1075673273,"Eric Jones, Pearu Peterson",26,7787
scipy_test/__init__.py,7,7,6,.py,1101032550,"Eric Jones, Pearu Peterson, nobody, skip",40,7493
weave/__init__.py,18,70,70,.py,1127761310,"Eric Jones, Pearu Peterson, Travis Oliphant, nobody, patmiller",62,7184
weave/ast_tools.py,9,451,451,.py,1075635370,"Eric Jones, Pearu Peterson, Travis Oliphant, nobody",51,7787
weave/base_info.py,5,146,146,.py,1096584521,"Eric Jones, Robert Kern, nobody",31,7545
weave/base_spec.py,5,112,112,.py,1075635370,"Eric Jones, nobody",18,7787
